time;target;temp;осадки;ясно;day;month;year;holiday;weekend;prev_day;prev_hour
0.0;481.51;6.9;0;0;1;1;2019;1;1;481.51;481.51
1.0;462.872;7.0;0;0;1;1;2019;1;1;481.51;481.51
2.0;449.718;7.1;0;0;1;1;2019;1;1;481.51;462.872
3.0;430.908;7.2;0;0;1;1;2019;1;1;481.51;449.718
4.0;415.163;7.1;0;0;1;1;2019;1;1;481.51;430.908
5.0;403.195;7.0;0;0;1;1;2019;1;1;481.51;415.163
6.0;398.173;6.7;0;0;1;1;2019;1;1;481.51;403.195
7.0;402.689;6.6;0;0;1;1;2019;1;1;481.51;398.173
8.0;407.094;6.5;0;0;1;1;2019;1;1;481.51;402.689
9.0;414.565;6.3;0;0;1;1;2019;1;1;481.51;407.094
10.0;420.905;6.7;0;0;1;1;2019;1;1;481.51;414.565
11.0;447.558;6.7;0;0;1;1;2019;1;1;481.51;420.905
12.0;469.802;6.7;1;0;1;1;2019;1;1;481.51;447.558
13.0;480.681;6.7;1;0;1;1;2019;1;1;481.51;469.802
14.0;481.156;7.0;1;0;1;1;2019;1;1;481.51;480.681
15.0;480.863;7.4;1;0;1;1;2019;1;1;481.51;481.156
16.0;482.463;7.2;1;0;1;1;2019;1;1;481.51;480.863
17.0;502.226;6.8;0;0;1;1;2019;1;1;481.51;482.463
18.0;524.691;6.0;0;0;1;1;2019;1;1;481.51;502.226
19.0;525.338;5.0;1;0;1;1;2019;1;1;481.51;524.691
20.0;522.61;4.9;0;0;1;1;2019;1;1;481.51;525.338
21.0;517.606;4.6;0;0;1;1;2019;1;1;481.51;522.61
22.0;512.28;4.3;1;0;1;1;2019;1;1;481.51;517.606
23.0;492.8;4.3;0;0;1;1;2019;1;1;481.51;512.28
0.0;465.381;4.3;0;0;2;1;2019;1;2;481.51;492.8
1.0;437.692;4.1;0;0;2;1;2019;1;2;462.872;465.381
2.0;416.416;4.0;0;0;2;1;2019;1;2;449.718;437.692
3.0;401.808;3.9;0;0;2;1;2019;1;2;430.908;416.416
4.0;394.554;3.6;0;0;2;1;2019;1;2;415.163;401.808
5.0;391.375;3.5;0;0;2;1;2019;1;2;403.195;394.554
6.0;392.51;3.5;0;0;2;1;2019;1;2;398.173;391.375
7.0;405.998;3.6;0;1;2;1;2019;1;2;402.689;392.51
8.0;424.891;3.4;0;0;2;1;2019;1;2;407.094;405.998
9.0;450.377;3.0;0;0;2;1;2019;1;2;414.565;424.891
10.0;475.445;2.9;0;0;2;1;2019;1;2;420.905;450.377
11.0;509.816;2.5;0;0;2;1;2019;1;2;447.558;475.445
12.0;526.491;2.6;0;0;2;1;2019;1;2;469.802;509.816
13.0;525.171;2.5;0;0;2;1;2019;1;2;480.681;526.491
14.0;521.867;2.9;0;1;2;1;2019;1;2;481.156;525.171
15.0;520.315;2.9;0;1;2;1;2019;1;2;480.863;521.867
16.0;525.992;2.7;0;1;2;1;2019;1;2;482.463;520.315
17.0;538.607;2.2;0;0;2;1;2019;1;2;502.226;525.992
18.0;556.317;1.6;0;0;2;1;2019;1;2;524.691;538.607
19.0;547.679;1.2;0;0;2;1;2019;1;2;525.338;556.317
20.0;542.323;0.8;0;0;2;1;2019;1;2;522.61;547.679
21.0;539.041;0.5;0;0;2;1;2019;1;2;517.606;542.323
22.0;528.386;0.4;0;0;2;1;2019;1;2;512.28;539.041
23.0;508.758;-0.0;0;1;2;1;2019;1;2;492.8;528.386
0.0;479.831;-0.4;0;1;3;1;2019;1;3;465.381;508.758
1.0;450.047;-0.7;0;1;3;1;2019;1;3;437.692;479.831
2.0;428.649;-0.8;0;1;3;1;2019;1;3;416.416;450.047
3.0;415.287;-1.0;0;1;3;1;2019;1;3;401.808;428.649
4.0;406.705;-1.1;0;1;3;1;2019;1;3;394.554;415.287
5.0;404.198;-1.2;0;1;3;1;2019;1;3;391.375;406.705
6.0;412.379;-1.2;0;1;3;1;2019;1;3;392.51;404.198
7.0;427.568;-1.1;0;1;3;1;2019;1;3;405.998;412.379
8.0;455.493;-0.7;0;0;3;1;2019;1;3;424.891;427.568
9.0;488.607;-0.5;0;0;3;1;2019;1;3;450.377;455.493
10.0;518.654;-0.2;0;0;3;1;2019;1;3;475.445;488.607
11.0;550.468;-0.0;0;0;3;1;2019;1;3;509.816;518.654
12.0;562.022;0.5;0;0;3;1;2019;1;3;526.491;550.468
13.0;559.561;1.1;1;0;3;1;2019;1;3;525.171;562.022
14.0;556.841;1.3;0;0;3;1;2019;1;3;521.867;559.561
15.0;553.016;1.5;1;0;3;1;2019;1;3;520.315;556.841
16.0;551.865;1.7;0;0;3;1;2019;1;3;525.992;553.016
17.0;566.031;1.6;0;0;3;1;2019;1;3;538.607;551.865
18.0;596.467;0.8;0;1;3;1;2019;1;3;556.317;566.031
19.0;593.502;-0.0;0;1;3;1;2019;1;3;547.679;596.467
20.0;583.89;-0.6;0;1;3;1;2019;1;3;542.323;593.502
21.0;574.923;-1.2;0;1;3;1;2019;1;3;539.041;583.89
22.0;560.805;-1.6;0;1;3;1;2019;1;3;528.386;574.923
23.0;538.755;-2.1;0;1;3;1;2019;1;3;508.758;560.805
0.0;506.119;-2.6;0;1;4;1;2019;1;4;479.831;538.755
1.0;473.726;-2.8;0;0;4;1;2019;1;4;450.047;506.119
2.0;449.395;-2.1;0;0;4;1;2019;1;4;428.649;473.726
3.0;435.532;-1.6;0;0;4;1;2019;1;4;415.287;449.395
4.0;427.882;-1.1;0;0;4;1;2019;1;4;406.705;435.532
5.0;426.407;-0.8;0;0;4;1;2019;1;4;404.198;427.882
6.0;433.644;-0.8;0;0;4;1;2019;1;4;412.379;426.407
7.0;449.355;-0.8;0;0;4;1;2019;1;4;427.568;433.644
8.0;477.349;-0.5;0;0;4;1;2019;1;4;455.493;449.355
9.0;518.861;-0.7;0;0;4;1;2019;1;4;488.607;477.349
10.0;550.57;0.2;0;0;4;1;2019;1;4;518.654;518.861
11.0;581.451;0.8;0;0;4;1;2019;1;4;550.468;550.57
12.0;593.408;1.6;0;0;4;1;2019;1;4;562.022;581.451
13.0;589.397;2.2;0;0;4;1;2019;1;4;559.561;593.408
14.0;584.555;2.6;1;0;4;1;2019;1;4;556.841;589.397
15.0;580.159;2.9;0;0;4;1;2019;1;4;553.016;584.555
16.0;577.593;3.1;1;0;4;1;2019;1;4;551.865;580.159
17.0;591.67;3.3;1;0;4;1;2019;1;4;566.031;577.593
18.0;611.004;3.5;1;0;4;1;2019;1;4;596.467;591.67
19.0;605.73;3.7;0;0;4;1;2019;1;4;593.502;611.004
20.0;595.028;3.8;0;0;4;1;2019;1;4;583.89;605.73
21.0;586.155;3.9;0;0;4;1;2019;1;4;574.923;595.028
22.0;571.615;3.4;0;0;4;1;2019;1;4;560.805;586.155
23.0;546.439;3.5;0;0;4;1;2019;1;4;538.755;571.615
0.0;514.853;3.7;0;0;5;1;2019;1;5;506.119;546.439
1.0;481.142;4.1;0;0;5;1;2019;1;5;473.726;514.853
2.0;454.754;4.5;0;0;5;1;2019;1;5;449.395;481.142
