time;temp;осадки;ясно;day;month;year;holiday;weekend;prev_day;prev_hour
21.0;21.4;0;0;26;8;2023;0;5;422.759;422.759
22.0;20.6;0;0;26;8;2023;0;5;422.759;422.759
23.0;20.2;0;0;26;8;2023;0;5;422.759;422.759
0.0;19.7;0;0;26;8;2023;0;5;422.759;422.759
1.0;19.6;0;0;26;8;2023;0;5;422.759;422.759
2.0;19.3;0;0;26;8;2023;0;5;422.759;422.759
3.0;19.2;0;0;27;8;2023;0;6;422.759;422.759
4.0;19.5;1;0;27;8;2023;0;6;422.759;422.759
5.0;19.5;1;0;27;8;2023;0;6;422.759;422.759
6.0;19.6;1;0;27;8;2023;0;6;422.759;422.759
7.0;20.2;0;0;27;8;2023;0;6;422.759;422.759
8.0;20.8;0;0;27;8;2023;0;6;422.759;422.759
9.0;21.1;0;0;27;8;2023;0;6;422.759;422.759
10.0;22.0;0;0;27;8;2023;0;6;422.759;422.759
11.0;22.9;0;0;27;8;2023;0;6;422.759;422.759
12.0;24.0;0;0;27;8;2023;0;6;422.759;422.759
13.0;23.6;0;0;27;8;2023;0;6;422.759;422.759
14.0;24.0;0;0;27;8;2023;0;6;422.759;422.759
15.0;24.1;0;0;27;8;2023;0;6;422.759;422.759
16.0;23.1;0;0;27;8;2023;0;6;422.759;422.759
17.0;21.5;0;0;27;8;2023;0;6;422.759;422.759
18.0;20.3;0;0;27;8;2023;0;6;422.759;422.759
19.0;18.9;0;0;27;8;2023;0;6;422.759;422.759
20.0;18.0;0;0;27;8;2023;0;6;422.759;422.759
21.0;17.2;0;0;27;8;2023;0;6;422.759;422.759
22.0;16.4;0;0;27;8;2023;0;6;422.759;422.759
23.0;15.7;0;0;27;8;2023;0;6;422.759;422.759
0.0;15.3;0;1;27;8;2023;0;6;422.759;422.759
1.0;15.0;0;1;27;8;2023;0;6;422.759;422.759
2.0;13.9;0;0;27;8;2023;0;6;422.759;422.759
3.0;13.7;0;0;28;8;2023;0;0;422.759;422.759
4.0;13.7;0;0;28;8;2023;0;0;422.759;422.759
5.0;13.8;0;0;28;8;2023;0;0;422.759;422.759
6.0;15.4;0;0;28;8;2023;0;0;422.759;422.759
7.0;17.4;0;0;28;8;2023;0;0;422.759;422.759
8.0;19.7;0;0;28;8;2023;0;0;422.759;422.759
9.0;21.1;0;0;28;8;2023;0;0;422.759;422.759
10.0;21.5;0;0;28;8;2023;0;0;422.759;422.759
11.0;21.6;0;0;28;8;2023;0;0;422.759;422.759
12.0;21.6;0;0;28;8;2023;0;0;422.759;422.759
13.0;21.7;0;0;28;8;2023;0;0;422.759;422.759
14.0;21.0;1;0;28;8;2023;0;0;422.759;422.759
15.0;20.2;1;0;28;8;2023;0;0;422.759;422.759
16.0;18.1;1;0;28;8;2023;0;0;422.759;422.759
17.0;17.5;1;0;28;8;2023;0;0;422.759;422.759
18.0;17.0;1;0;28;8;2023;0;0;422.759;422.759
19.0;16.6;0;0;28;8;2023;0;0;422.759;422.759
20.0;16.3;0;0;28;8;2023;0;0;422.759;422.759
21.0;16.0;0;0;28;8;2023;0;0;422.759;422.759
22.0;15.7;0;0;28;8;2023;0;0;422.759;422.759
23.0;15.5;0;0;28;8;2023;0;0;422.759;422.759
0.0;15.4;0;0;28;8;2023;0;0;422.759;422.759
1.0;15.4;0;0;28;8;2023;0;0;422.759;422.759
2.0;15.2;0;0;28;8;2023;0;0;422.759;422.759
