date,time,target,predict,temp,temp_pred,weather_fact,weather_pred
2019-01-01,0,481.51,494.0,2.9,2.0,ветер,"пасм, ветер"
2019-01-01,1,462.872,478.0,2.9,2.0,ветер,"пасм, ветер"
2019-01-01,2,449.718,461.0,2.9,2.0,ветер,"пасм, ветер"
2019-01-01,3,430.908,438.0,4.3,2.0,"ветер, пасм","пасм, ветер"
2019-01-01,4,415.163,420.0,4.3,2.0,"ветер, пасм","пасм, ветер"
2019-01-01,5,403.195,406.0,4.3,2.0,"ветер, пасм","пасм, ветер"
2019-01-01,6,398.173,400.0,5.3,3.0,"ветер, пасм,дождь","пасм, ветер"
2019-01-01,7,402.689,404.0,5.3,3.0,"ветер, пасм,дождь","пасм, ветер"
2019-01-01,8,407.094,406.0,5.3,3.0,"ветер, пасм,дождь","пасм, ветер"
2019-01-01,9,414.565,412.0,6.0,5.0,"ветер, пасм,дождь","пасм, 80% дождь"
2019-01-01,10,420.905,427.0,6.0,5.0,"ветер, пасм,дождь","пасм, 80% дождь"
2019-01-01,11,447.558,453.0,6.0,5.0,"ветер, пасм,дождь","пасм, 80% дождь"
2019-01-01,12,469.802,474.0,6.1,6.0,"ветер, пасм,дождь","пасм, 80% дождь"
2019-01-01,13,480.681,485.0,6.1,6.0,"ветер, пасм,дождь","пасм, 80% дождь"
2019-01-01,14,481.156,488.0,6.1,6.0,"ветер, пасм,дождь","пасм, 80% дождь"
2019-01-01,15,480.863,487.0,4.8,6.0,"ветер, пасм,дождь","пасм, 80% дождь"
2019-01-01,16,482.463,493.0,4.8,6.0,"ветер, пасм,дождь","пасм, 80% дождь"
2019-01-01,17,502.226,515.0,4.8,6.0,"ветер, пасм,дождь","пасм, 80% дождь"
2019-01-01,18,524.691,534.0,5.2,6.0,"ветер, ливень","пасм, 80% дождь"
2019-01-01,19,525.338,535.0,5.2,6.0,"ветер, ливень","пасм, 80% дождь"
2019-01-01,20,522.61,533.0,5.2,6.0,"ветер, ливень","пасм, 80% дождь"
2019-01-01,21,517.606,530.0,4.4,5.0,"ветер, ливень","пасм, 80% дождь"
2019-01-01,22,512.28,525.0,4.4,5.0,"ветер, ливень","пасм, 80% дождь"
2019-01-01,23,492.8,502.0,4.4,5.0,"ветер, ливень","пасм, 80% дождь"
2019-01-02,0,465.381,483.0,3.2,4.0,"пасм, ветер, дождь","пасм, ветер, 76% дождь"
2019-01-02,1,437.692,451.0,3.2,4.0,"пасм, ветер, дождь","пасм, ветер, 76% дождь"
2019-01-02,2,416.416,427.0,3.2,4.0,"пасм, ветер, дождь","пасм, ветер, 76% дождь"
2019-01-02,3,401.808,411.0,2.5,3.0,"пасм, ветер, дождь","пасм, ветер, 76% дождь"
2019-01-02,4,394.554,404.0,2.5,3.0,"пасм, ветер, дождь","пасм, ветер, 76% дождь"
2019-01-02,5,391.375,401.0,2.5,3.0,"пасм, ветер, дождь","пасм, ветер, 76% дождь"
2019-01-02,6,392.51,404.0,1.7,2.0,"пасм, ветер","пасм, ветер"
2019-01-02,7,405.998,418.0,1.7,2.0,"пасм, ветер","пасм, ветер"
2019-01-02,8,424.891,442.0,1.7,2.0,"пасм, ветер","пасм, ветер"
2019-01-02,9,450.377,463.0,1.1,1.0,"пасм, ветер","пасм, ветер, снег"
2019-01-02,10,475.445,489.0,1.1,1.0,"пасм, ветер","пасм, ветер, снег"
2019-01-02,11,509.816,519.0,1.1,1.0,"пасм, ветер","пасм, ветер, снег"
2019-01-02,12,526.491,530.0,1.0,1.0,"пасм, ветер, снег, метель","пасм, ветер, снег"
2019-01-02,13,525.171,527.0,1.0,1.0,"пасм, ветер, снег, метель","пасм, ветер, снег"
2019-01-02,14,521.867,528.0,1.0,1.0,"пасм, ветер, снег, метель","пасм, ветер, снег"
2019-01-02,15,520.315,526.0,0.6,1.0,"пасм, ветер, снег, метель","пасм, ветер, снег"
2019-01-02,16,525.992,527.0,0.6,1.0,"пасм, ветер, снег, метель","пасм, ветер, снег"
2019-01-02,17,538.607,547.0,0.6,1.0,"пасм, ветер, снег, метель","пасм, ветер, снег"
2019-01-02,18,556.317,572.0,0.2,0.0,"пасм, ветер, снег, метель","пасм, ветер, снег"
2019-01-02,19,547.679,572.0,0.2,0.0,"пасм, ветер, снег, метель","пасм, ветер, снег"
2019-01-02,20,542.323,564.0,0.2,0.0,"пасм, ветер, снег, метель","пасм, ветер, снег"
2019-01-02,21,539.041,561.0,0.5,0.0,"пасм, ветер, снег, метель","пасм, ветер, снег"
2019-01-02,22,528.386,547.0,0.5,0.0,"пасм, ветер, снег, метель","пасм, ветер, снег"
2019-01-02,23,508.758,527.0,0.5,0.0,"пасм, ветер, снег, метель","пасм, ветер, снег"
2019-01-03,0,479.831,500.0,-0.4,-1.0,"пасм,ветер","пасм, 52% снег"
2019-01-03,1,450.047,462.0,-0.4,-1.0,"пасм,ветер","пасм, 52% снег"
2019-01-03,2,428.649,437.0,-0.4,-1.0,"пасм,ветер","пасм, 52% снег"
2019-01-03,3,415.287,424.0,-0.1,-1.0,"пасм,ветер","пасм, 52% снег"
2019-01-03,4,406.705,415.99999999999994,-0.1,-1.0,"пасм,ветер","пасм, 52% снег"
2019-01-03,5,404.198,413.99999999999994,-0.1,-1.0,"пасм,ветер","пасм, 52% снег"
2019-01-03,6,412.379,421.0,-0.8,-2.0,"ясно, ветер","пасм, 52% снег"
2019-01-03,7,427.568,443.0,-0.8,-2.0,"ясно, ветер","пасм, 52% снег"
2019-01-03,8,455.493,474.0,-0.8,-2.0,"ясно, ветер","пасм, 52% снег"
2019-01-03,9,488.607,511.0,-0.5,-1.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,10,518.654,541.0,-0.5,-1.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,11,550.468,561.0,-0.5,-1.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,12,562.022,565.0,0.1,-1.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,13,559.561,561.0,0.1,-1.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,14,556.841,560.0,0.1,-1.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,15,553.016,558.0,-1.2,-1.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,16,551.865,563.0,-1.2,-1.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,17,566.031,582.0,-1.2,-1.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,18,596.467,602.0,-2.6,-2.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,19,593.502,601.0,-2.6,-2.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,20,583.89,593.0,-2.6,-2.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,21,574.923,585.0,-3.8,-2.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,22,560.805,573.0,-3.8,-2.0,"ясно, ветер","пасм, 24% дождь"
2019-01-03,23,538.755,553.0,-3.8,-2.0,"ясно, ветер","пасм, 24% дождь"
2019-01-04,0,506.119,519.7969239078583,-5.7,-2.0,"пасм, ветер","пасм, 36% снег"
2019-01-04,1,473.726,483.63814859317444,-5.7,-2.0,"пасм, ветер","пасм, 36% снег"
2019-01-04,2,449.395,455.88320844218737,-5.7,-2.0,"пасм, ветер","пасм, 36% снег"
2019-01-04,3,435.532,438.43587191290464,-6.9,-1.0,"пасм, ветер","пасм, 36% снег"
2019-01-04,4,427.882,430.16349697115174,-6.9,-1.0,"пасм, ветер","пасм, 36% снег"
2019-01-04,5,426.407,428.09540323571343,-6.9,-1.0,"пасм, ветер","пасм, 36% снег"
2019-01-04,6,433.644,431.41918256671926,-3.2,-1.0,"пасм, ветер","пасм, 36% снег"
2019-01-04,7,449.355,450.80315260949715,-3.2,-1.0,"пасм, ветер","пасм, 36% снег"
2019-01-04,8,477.349,482.34919714876224,-3.2,-1.0,"пасм, ветер","пасм, 36% снег"
2019-01-04,9,518.861,520.0009277278849,-0.3,1.0,"пасм, ветер","пасм, 16% дождь"
2019-01-04,10,550.57,550.5293579271736,-0.3,1.0,"пасм, ветер","пасм, 16% дождь"
2019-01-04,11,581.451,575.0943837292563,-0.3,1.0,"пасм, ветер","пасм, 16% дождь"
2019-01-04,12,593.408,584.2364802612998,0.2,1.0,"пасм, ветер","пасм, 16% дождь"
2019-01-04,13,589.397,583.1038382271239,0.2,1.0,"пасм, ветер","пасм, 16% дождь"
2019-01-04,14,584.555,579.0662459227042,0.2,1.0,"пасм, ветер","пасм, 16% дождь"
2019-01-04,15,580.159,576.9981521872659,0.8,1.0,"пасм, ветер","пасм, 16% дождь"
2019-01-04,16,577.593,582.1683865258615,0.8,1.0,"пасм, ветер","пасм, 16% дождь"
2019-01-04,17,591.67,601.8152770125247,0.8,1.0,"пасм, ветер","пасм, 16% дождь"
2019-01-04,18,611.004,622.4962143669069,0.9,0.0,"пасм, дождь","пасм, 16% дождь"
2019-01-04,19,605.73,621.4621674991879,0.9,0.0,"пасм, дождь","пасм, 16% дождь"
2019-01-04,20,595.028,613.1897925574349,0.9,0.0,"пасм, дождь","пасм, 16% дождь"
2019-01-04,21,586.155,604.9174176156821,2.2,0.0,"пасм, дождь","пасм, 16% дождь"
2019-01-04,22,571.615,592.5088552030528,2.2,0.0,"пасм, дождь","пасм, 16% дождь"
2019-01-04,23,546.439,571.8279178486704,2.2,0.0,"пасм, дождь","пасм, 16% дождь"
2019-01-05,0,514.853,519.1286253104952,2.8,3.0,дождь,"пасм, 74% дождь,, снег"
2019-01-05,1,481.142,483.18933568717426,2.8,3.0,дождь,"пасм, 74% дождь,, снег"
2019-01-05,2,454.754,455.2363327500903,2.8,3.0,дождь,"пасм, 74% дождь,, снег"
2019-01-05,3,440.151,440.1933271646253,3.4,4.0,дождь,"пасм, 74% дождь,, снег"
2019-01-05,4,432.254,432.2070404783884,3.4,4.0,дождь,"пасм, 74% дождь,, снег"
2019-01-05,5,428.926,430.2099690392018,3.4,4.0,дождь,"пасм, 74% дождь,, снег"
2019-01-05,6,431.34,435.15666901544535,2.4,4.0,облачно,"пасм, 74% дождь,, снег"
2019-01-05,7,444.717,453.17129291357395,2.4,4.0,облачно,"пасм, 74% дождь,, снег"
2019-01-05,8,469.888,481.19226424798757,2.4,4.0,облачно,"пасм, 74% дождь,, снег"
2019-01-05,9,503.824,521.1276958201914,1.4,3.0,малообл,"пасм, 74% дождь,, снег"
2019-01-05,10,533.122,554.027398733519,1.4,3.0,малообл,"пасм, 74% дождь,, снег"
2019-01-05,11,565.424,579.9383511449482,1.4,3.0,малообл,"пасм, 74% дождь,, снег"
2019-01-05,12,579.819,585.9485566323503,-0.2,1.0,пасмурно,прояснения?
2019-01-05,13,581.549,582.0233816865616,-0.2,1.0,пасмурно,прояснения?
2019-01-05,14,580.582,579.9813311609067,-0.2,1.0,пасмурно,прояснения?
2019-01-05,15,580.592,580.9118984831704,0.0,0.0,"снег, пасм",прояснения?
2019-01-05,16,582.877,583.9524847284185,0.0,0.0,"снег, пасм",прояснения?
2019-01-05,17,599.62,604.8947473879974,0.0,0.0,"снег, пасм",прояснения?
2019-01-05,18,612.847,620.9582784686625,-0.7,-1.0,пасмурно,прояснения?
2019-01-05,19,609.084,619.959742749069,-0.7,-1.0,пасмурно,прояснения?
2019-01-05,20,597.462,611.9734560628322,-0.7,-1.0,пасмурно,прояснения?
2019-01-05,21,586.569,600.0839842064131,-1.6,-2.0,пасмурно,прояснения?
2019-01-05,22,574.002,583.225822598144,-1.6,-2.0,пасмурно,прояснения?
2019-01-05,23,549.747,561.3080135298331,-1.6,-2.0,пасмурно,прояснения?
2019-01-06,0,518.851,531.0466257851054,-2.0,-2.0,пасмурно,облачно
2019-01-06,1,487.836,495.0434647149288,-2.0,-2.0,пасмурно,облачно
2019-01-06,2,463.039,469.0411817198012,-2.0,-2.0,пасмурно,облачно
2019-01-06,3,446.956,453.0397767997227,-2.8,-2.0,пасмурно,облачно
2019-01-06,4,438.879,446.03916214718834,-2.8,-2.0,пасмурно,облачно
2019-01-06,5,435.766,444.0389865321785,-2.8,-2.0,пасмурно,облачно
2019-01-06,6,441.252,448.03933776219816,-3.6,-3.0,ясно,облачно
2019-01-06,7,455.889,467.0410061047914,-3.6,-3.0,ясно,облачно
2019-01-06,8,476.991,494.04337690742386,-3.6,-3.0,ясно,облачно
2019-01-06,9,506.962,527.0462745550858,-3.7,-4.0,ясно,облачно
2019-01-06,10,535.603,565.0496112402723,-3.7,-4.0,ясно,облачно
2019-01-06,11,566.499,595.0919166260982,-3.7,-4.0,ясно,облачно
2019-01-06,12,576.889,604.3289669385629,-2.8,-4.0,ясно,облачно
2019-01-06,13,575.282,603.218192233295,-2.8,-4.0,ясно,облачно
2019-01-06,14,570.88,605.1559313667138,-2.8,-4.0,ясно,облачно
2019-01-06,15,568.857,601.8177353141422,-4.1,-4.0,ясно,облачно
2019-01-06,16,567.818,602.4695202953832,-4.1,-4.0,ясно,облачно
2019-01-06,17,584.424,619.3187465850745,-4.1,-4.0,ясно,облачно
2019-01-06,18,615.803,648.607284793312,-3.9,-5.0,ясно,облачно
2019-01-06,19,610.037,648.1608200883487,-3.9,-5.0,ясно,облачно
2019-01-06,20,595.185,639.0270224458241,-3.9,-5.0,ясно,облачно
2019-01-06,21,584.211,626.2438161020273,-3.5,-6.0,ясно,облачно
2019-01-06,22,569.967,609.449295800203,-3.5,-6.0,ясно,облачно
2019-01-06,23,550.543,582.6419471423192,-3.5,-6.0,ясно,облачно
2019-01-07,0,523.761,534.3235403278394,-3.2,-7.0,пасмурно,пасм
2019-01-07,1,494.211,502.24706872101234,-3.2,-7.0,пасмурно,пасм
2019-01-07,2,470.672,477.20626187587976,-3.2,-7.0,пасмурно,пасм
2019-01-07,3,455.73,461.73899886651503,-2.5,-6.0,пасмурно,пасм
2019-01-07,4,444.84,452.890420487289,-2.5,-6.0,пасмурно,пасм
2019-01-07,5,441.119,447.33268530458605,-2.5,-6.0,пасмурно,пасм
2019-01-07,6,443.111,449.0976012091328,-2.2,-5.0,пасмурно,"пасм, 40% снег"
2019-01-07,7,457.155,462.80994783748935,-2.2,-5.0,пасмурно,"пасм, 40% снег"
2019-01-07,8,474.355,482.7369983450287,-2.2,-5.0,пасмурно,"пасм, 40% снег"
2019-01-07,9,499.64,509.2157366749988,-2.7,-2.0,пасмурно,"пасм, 40% снег"
2019-01-07,10,527.261,536.3124455596487,-2.7,-2.0,пасмурно,"пасм, 40% снег"
2019-01-07,11,559.133,563.0861698340049,-2.7,-2.0,пасмурно,"пасм, 40% снег"
2019-01-07,12,572.396,577.9724605257823,-1.0,-1.0,пасмурно,"пасм, 40% снег"
2019-01-07,13,573.392,577.9724605257823,-1.0,-1.0,пасмурно,"пасм, 40% снег"
2019-01-07,14,571.958,573.9726511103789,-1.0,-1.0,пасмурно,"пасм, 40% снег"
2019-01-07,15,567.706,570.9727940488264,0.0,-1.0,пасмурно,"пасм, 30% сн+дождь"
2019-01-07,16,566.988,572.9726987565281,0.0,-1.0,пасмурно,"пасм, 30% сн+дождь"
2019-01-07,17,578.985,590.971841125843,0.0,-1.0,пасмурно,"пасм, 30% сн+дождь"
2019-01-07,18,600.381,621.6403798184481,0.3,-1.0,пасмурно,"пасм, 30% сн+дождь"
2019-01-07,19,598.616,621.6113812001864,0.3,-1.0,пасмурно,"пасм, 30% сн+дождь"
2019-01-07,20,591.654,614.5317185349226,0.3,-1.0,пасмурно,"пасм, 30% сн+дождь"
2019-01-07,21,584.101,605.9601269577132,-0.1,-1.0,пасмурно,"пасм, 30% сн+дождь"
2019-01-07,22,572.991,592.3437757553264,-0.1,-1.0,пасмурно,"пасм, 30% сн+дождь"
2019-01-07,23,549.779,570.0798365968375,-0.1,-1.0,пасмурно,"пасм, 30% сн+дождь"
2019-01-08,0,517.676,527.9929642078404,-0.4,-1.0,"пасм, снег",пасмурно
2019-01-08,1,485.831,496.9933772941225,-0.4,-1.0,"пасм, снег",пасмурно
2019-01-08,2,461.959,470.9937237535849,-0.4,-1.0,"пасм, снег",пасмурно
2019-01-08,3,449.592,457.9938969833161,-1.1,-1.0,"пасм, снег",пасмурно
2019-01-08,4,440.941,451.99397693549975,-1.1,-1.0,"пасм, снег",пасмурно
2019-01-08,5,438.613,447.9940302369555,-1.1,-1.0,"пасм, снег",пасмурно
2019-01-08,6,441.516,451.99397693549975,-1.5,0.0,"пасм, снег, ветер","пасм, 70% снег"
2019-01-08,7,460.622,470.9937237535849,-1.5,0.0,"пасм, снег, ветер","пасм, 70% снег"
2019-01-08,8,490.891,500.3566252572063,-1.5,0.0,"пасм, снег, ветер","пасм, 70% снег"
2019-01-08,9,527.55,538.382642799359,-1.7,0.0,"пасм, снег, ветер","пасм, 70% снег"
2019-01-08,10,562.061,573.444777704137,-1.7,0.0,"пасм, снег, ветер","пасм, 70% снег"
2019-01-08,11,595.013,599.7655152015442,-1.7,0.0,"пасм, снег, ветер","пасм, 70% снег"
2019-01-08,12,609.145,608.6477340555653,-0.7,1.0,"пасм, снег, ветер","пасм, 70% снег"
2019-01-08,13,612.296,606.6292451077416,-0.7,1.0,"пасм, снег, ветер","пасм, 70% снег"
2019-01-08,14,607.071,603.7630443461941,-0.7,1.0,"пасм, снег, ветер","пасм, 70% снег"
2019-01-08,15,600.974,598.2853102451733,-0.5,1.0,"пасм, снег, ветер","пасм, 70% снег"
2019-01-08,16,601.415,597.0615712844195,-0.5,1.0,"пасм, снег, ветер","пасм, 70% снег"
