Code,Day_Text
1000,Солнечно
1003,Переменная облачность
1006,Облачно
1009,Пасмурно
1030,Дымка
1063,Местами дождь
1066,Местами снег
1069,Местами дождь со снегом
1072,Местами замерзающая морось
1087,Местами грозы
1114,Поземок
1117,Метель
1135,Туман
1147,Переохлажденный туман
1150,Местами слабая морось
1153,Слабая морось
1168,Замерзающая морось
1171,Сильная замерзающая морось
1180,Местами небольшой дождь
1183,Небольшой дождь
1186,Временами умеренный дождь
1189,Умеренный дождь
1192,Временами сильный дождь
1195,Сильный дождь
1198,Слабый переохлажденный дождь
1201,Умеренный или сильный переохлажденный дождь
1204,Небольшой дождь со снегом
1207,Умеренный или сильный дождь со снегом
1210,Местами небольшой снег
1213,Небольшой снег
1216,Местами умеренный снег
1219,Умеренный снег
1222,Местами сильный снег
1225,Сильный снег
1237,Ледяной дождь
1240,Небольшой ливневый дождь
1243,Умеренный или сильный ливневый дождь
1246,Сильные ливни
1249,Небольшой ливневый дождь со снегом
1252,Умеренные или сильные ливневые дожди со снегом
1255,Небольшой снег
1258,Умеренный или сильный снег
1261,Небольшой ледяной дождь
1264,Умеренный или сильный ледяной дождь
1273,В отдельных районах местами небольшой дождь с грозой
1276,В отдельных районах умеренный или сильный дождь с грозой
1279,В отдельных районах местами небольшой снег с грозой
1282,В отдельных районах умеренный или сильный снег с грозой
