time;target;temp;осадки;ясно;day;month;year;holiday;weekend;prev_day;prev_hour
0.0;481.51;4.1;1;0;1;1;2019;1;1;481.51;481.51
1.0;462.872;4.4;1;0;1;1;2019;1;1;481.51;481.51
2.0;449.718;4.1;1;0;1;1;2019;1;1;481.51;462.872
3.0;430.908;3.8;1;0;1;1;2019;1;1;481.51;449.718
4.0;415.163;3.3;1;0;1;1;2019;1;1;481.51;430.908
5.0;403.195;3.8;1;0;1;1;2019;1;1;481.51;415.163
6.0;398.173;3.1;1;0;1;1;2019;1;1;481.51;403.195
7.0;402.689;3.4;0;0;1;1;2019;1;1;481.51;398.173
8.0;407.094;3.2;0;0;1;1;2019;1;1;481.51;402.689
9.0;414.565;2.4;1;0;1;1;2019;1;1;481.51;407.094
10.0;420.905;3.0;0;1;1;1;2019;1;1;481.51;414.565
11.0;447.558;3.6;0;0;1;1;2019;1;1;481.51;420.905
12.0;469.802;4.4;1;0;1;1;2019;1;1;481.51;447.558
13.0;480.681;4.5;1;0;1;1;2019;1;1;481.51;469.802
14.0;481.156;4.4;1;0;1;1;2019;1;1;481.51;480.681
15.0;480.863;4.3;0;0;1;1;2019;1;1;481.51;481.156
16.0;482.463;3.9;0;1;1;1;2019;1;1;481.51;480.863
17.0;502.226;3.4;0;1;1;1;2019;1;1;481.51;482.463
18.0;524.691;2.7;0;1;1;1;2019;1;1;481.51;502.226
19.0;525.338;2.3;0;1;1;1;2019;1;1;481.51;524.691
20.0;522.61;2.0;0;1;1;1;2019;1;1;481.51;525.338
21.0;517.606;1.4;0;1;1;1;2019;1;1;481.51;522.61
22.0;512.28;0.4;0;1;1;1;2019;1;1;481.51;517.606
23.0;492.8;-0.1;0;0;1;1;2019;1;1;481.51;512.28
0.0;465.381;-0.8;0;1;2;1;2019;1;2;481.51;492.8
1.0;437.692;-1.7;0;0;2;1;2019;1;2;462.872;465.381
2.0;416.416;-2.0;0;1;2;1;2019;1;2;449.718;437.692
3.0;401.808;-2.6;0;1;2;1;2019;1;2;430.908;416.416
4.0;394.554;-2.4;0;1;2;1;2019;1;2;415.163;401.808
5.0;391.375;-2.5;0;1;2;1;2019;1;2;403.195;394.554
6.0;392.51;-2.6;0;1;2;1;2019;1;2;398.173;391.375
7.0;405.998;-2.2;0;1;2;1;2019;1;2;402.689;392.51
8.0;424.891;-2.2;0;1;2;1;2019;1;2;407.094;405.998
9.0;450.377;-0.9;0;1;2;1;2019;1;2;414.565;424.891
10.0;475.445;2.1;0;0;2;1;2019;1;2;420.905;450.377
11.0;509.816;5.3;0;0;2;1;2019;1;2;447.558;475.445
12.0;526.491;6.0;0;0;2;1;2019;1;2;469.802;509.816
13.0;525.171;5.9;1;0;2;1;2019;1;2;480.681;526.491
14.0;521.867;5.9;1;0;2;1;2019;1;2;481.156;525.171
15.0;520.315;6.0;1;0;2;1;2019;1;2;480.863;521.867
16.0;525.992;6.3;1;0;2;1;2019;1;2;482.463;520.315
17.0;538.607;6.5;1;0;2;1;2019;1;2;502.226;525.992
18.0;556.317;6.8;1;0;2;1;2019;1;2;524.691;538.607
19.0;547.679;7.0;1;0;2;1;2019;1;2;525.338;556.317
20.0;542.323;7.2;0;0;2;1;2019;1;2;522.61;547.679
21.0;539.041;7.3;0;0;2;1;2019;1;2;517.606;542.323
22.0;528.386;7.6;1;0;2;1;2019;1;2;512.28;539.041
23.0;508.758;7.5;1;0;2;1;2019;1;2;492.8;528.386
0.0;479.831;7.5;0;0;3;1;2019;1;3;465.381;508.758
1.0;450.047;7.4;0;1;3;1;2019;1;3;437.692;479.831
2.0;428.649;7.5;0;0;3;1;2019;1;3;416.416;450.047
3.0;415.287;7.5;0;0;3;1;2019;1;3;401.808;428.649
4.0;406.705;7.3;0;0;3;1;2019;1;3;394.554;415.287
5.0;404.198;7.5;0;0;3;1;2019;1;3;391.375;406.705
6.0;412.379;7.9;0;0;3;1;2019;1;3;392.51;404.198
7.0;427.568;8.4;0;0;3;1;2019;1;3;405.998;412.379
