time;target;temp;осадки;ясно;day;month;year
0.0;481.51;5.0;1;0;1;1;2019
1.0;462.872;4.8;1;0;1;1;2019
2.0;449.718;4.5;1;0;1;1;2019
3.0;430.908;4.5;1;0;1;1;2019
4.0;415.163;4.5;1;0;1;1;2019
5.0;403.195;4.3;1;0;1;1;2019
6.0;398.173;4.1;1;0;1;1;2019
7.0;402.689;4.0;1;0;1;1;2019
8.0;407.094;3.9;0;0;1;1;2019
9.0;414.565;4.0;1;0;1;1;2019
10.0;420.905;4.6;0;0;1;1;2019
11.0;447.558;4.8;0;0;1;1;2019
12.0;469.802;5.2;0;0;1;1;2019
13.0;480.681;5.4;0;0;1;1;2019
14.0;481.156;5.6;0;0;1;1;2019
15.0;480.863;5.4;0;0;1;1;2019
16.0;482.463;5.2;0;1;1;1;2019
17.0;502.226;4.7;0;1;1;1;2019
18.0;524.691;4.0;0;1;1;1;2019
19.0;525.338;3.2;1;0;1;1;2019
20.0;522.61;3.1;1;0;1;1;2019
21.0;517.606;3.1;1;0;1;1;2019
22.0;512.28;2.9;1;0;1;1;2019
23.0;492.8;3.0;1;0;1;1;2019
0.0;465.381;3.0;1;0;2;1;2019
1.0;437.692;3.0;1;0;2;1;2019
2.0;416.416;2.9;0;0;2;1;2019
3.0;401.808;2.9;0;0;2;1;2019
4.0;394.554;2.8;0;0;2;1;2019
5.0;391.375;2.7;0;0;2;1;2019
6.0;392.51;2.6;0;0;2;1;2019
7.0;405.998;2.5;0;0;2;1;2019
8.0;424.891;2.1;0;0;2;1;2019
9.0;450.377;2.1;0;0;2;1;2019
10.0;475.445;6.1;0;0;2;1;2019
11.0;509.816;7.7;0;0;2;1;2019
12.0;526.491;8.3;0;0;2;1;2019
13.0;525.171;8.5;1;0;2;1;2019
14.0;521.867;8.0;1;0;2;1;2019
15.0;520.315;7.8;1;0;2;1;2019
16.0;525.992;7.7;1;0;2;1;2019
17.0;538.607;7.6;1;0;2;1;2019
18.0;556.317;7.5;1;0;2;1;2019
19.0;547.679;7.3;0;0;2;1;2019
20.0;542.323;7.4;0;0;2;1;2019
21.0;539.041;8.0;0;0;2;1;2019
22.0;528.386;9.3;0;0;2;1;2019
23.0;508.758;9.8;0;0;2;1;2019
0.0;479.831;10.1;0;0;3;1;2019
1.0;450.047;10.5;0;0;3;1;2019
2.0;428.649;10.7;0;0;3;1;2019
3.0;415.287;10.6;0;0;3;1;2019
4.0;406.705;10.4;0;0;3;1;2019
5.0;404.198;10.1;0;0;3;1;2019
6.0;412.379;10.1;0;0;3;1;2019
7.0;427.568;10.2;0;0;3;1;2019
8.0;455.493;10.2;1;0;3;1;2019
9.0;488.607;10.3;1;0;3;1;2019
10.0;518.654;10.8;1;0;3;1;2019
11.0;550.468;10.8;1;0;3;1;2019
12.0;562.022;10.5;1;0;3;1;2019
13.0;559.561;10.1;1;0;3;1;2019
14.0;556.841;10.1;1;0;3;1;2019
15.0;553.016;10.0;1;0;3;1;2019
16.0;551.865;9.8;1;0;3;1;2019
17.0;566.031;9.5;1;0;3;1;2019
18.0;596.467;9.4;1;0;3;1;2019
19.0;593.502;9.2;1;0;3;1;2019
20.0;583.89;9.0;1;0;3;1;2019
21.0;574.923;8.3;1;0;3;1;2019
22.0;560.805;7.3;1;0;3;1;2019
23.0;538.755;6.9;1;0;3;1;2019
0.0;506.119;6.9;0;0;4;1;2019
1.0;473.726;6.8;0;0;4;1;2019
2.0;449.395;6.6;0;0;4;1;2019
3.0;435.532;6.3;0;0;4;1;2019
4.0;427.882;6.2;0;0;4;1;2019
5.0;426.407;6.0;1;0;4;1;2019
6.0;433.644;5.9;1;0;4;1;2019
7.0;449.355;6.1;1;0;4;1;2019
8.0;477.349;6.7;1;0;4;1;2019
9.0;518.861;8.3;1;0;4;1;2019
10.0;550.57;10.4;0;0;4;1;2019
11.0;581.451;11.7;0;0;4;1;2019
12.0;593.408;11.9;1;0;4;1;2019
13.0;589.397;10.9;1;0;4;1;2019
14.0;584.555;10.5;1;0;4;1;2019
15.0;580.159;10.6;1;0;4;1;2019
16.0;577.593;10.9;1;0;4;1;2019
17.0;591.67;8.9;1;0;4;1;2019
18.0;611.004;8.6;1;1;4;1;2019
19.0;605.73;7.6;0;0;4;1;2019
20.0;595.028;7.4;1;0;4;1;2019
21.0;586.155;7.2;1;0;4;1;2019
22.0;571.615;5.4;1;0;4;1;2019
23.0;546.439;4.2;0;0;4;1;2019
0.0;514.853;3.9;0;0;5;1;2019
1.0;481.142;4.0;0;0;5;1;2019
2.0;454.754;3.9;0;0;5;1;2019
3.0;440.151;3.9;0;0;5;1;2019
4.0;432.254;3.6;0;0;5;1;2019
5.0;428.926;3.4;0;0;5;1;2019
6.0;431.34;3.4;0;0;5;1;2019
7.0;444.717;3.4;0;0;5;1;2019
8.0;469.888;3.5;0;0;5;1;2019
9.0;503.824;4.2;0;0;5;1;2019
10.0;533.122;4.8;1;0;5;1;2019
11.0;565.424;5.5;1;0;5;1;2019
12.0;579.819;5.9;1;0;5;1;2019
13.0;581.549;6.2;0;0;5;1;2019
14.0;580.582;6.6;0;0;5;1;2019
15.0;580.592;6.5;0;0;5;1;2019
16.0;582.877;6.3;0;0;5;1;2019
17.0;599.62;5.9;0;0;5;1;2019
18.0;612.847;5.0;0;0;5;1;2019
19.0;609.084;4.1;0;0;5;1;2019
20.0;597.462;3.2;0;0;5;1;2019
21.0;586.569;3.0;0;0;5;1;2019
22.0;574.002;3.2;0;0;5;1;2019
23.0;549.747;3.2;0;0;5;1;2019
0.0;518.851;3.4;1;0;6;1;2019
1.0;487.836;3.5;1;0;6;1;2019
2.0;463.039;3.5;1;0;6;1;2019
3.0;446.956;3.3;1;0;6;1;2019
4.0;438.879;3.0;1;0;6;1;2019
5.0;435.766;3.1;1;0;6;1;2019
6.0;441.252;3.2;1;0;6;1;2019
7.0;455.889;3.5;0;0;6;1;2019
8.0;476.991;4.2;0;0;6;1;2019
9.0;506.962;4.7;0;0;6;1;2019
10.0;535.603;6.5;0;0;6;1;2019
11.0;566.499;7.4;0;0;6;1;2019
12.0;576.889;8.0;0;0;6;1;2019
13.0;575.282;8.6;1;0;6;1;2019
14.0;570.88;8.7;1;0;6;1;2019
15.0;568.857;8.6;1;0;6;1;2019
16.0;567.818;8.1;0;0;6;1;2019
17.0;584.424;7.6;0;0;6;1;2019
18.0;615.803;6.9;0;0;6;1;2019
19.0;610.037;6.7;0;0;6;1;2019
20.0;595.185;6.3;0;0;6;1;2019
21.0;584.211;5.9;0;0;6;1;2019
22.0;569.967;5.6;0;0;6;1;2019
23.0;550.543;5.2;0;0;6;1;2019
0.0;523.761;5.0;1;0;7;1;2019
1.0;494.211;4.6;1;0;7;1;2019
2.0;470.672;4.0;1;0;7;1;2019
3.0;455.73;3.4;1;0;7;1;2019
4.0;444.84;2.8;1;0;7;1;2019
5.0;441.119;2.8;1;0;7;1;2019
6.0;443.111;2.9;1;0;7;1;2019
7.0;457.155;3.3;1;0;7;1;2019
8.0;474.355;4.1;1;0;7;1;2019
9.0;499.64;5.7;1;0;7;1;2019
10.0;527.261;5.8;1;0;7;1;2019
11.0;559.133;5.6;1;0;7;1;2019
12.0;572.396;5.5;1;0;7;1;2019
13.0;573.392;5.8;0;0;7;1;2019
14.0;571.958;6.0;1;0;7;1;2019
15.0;567.706;5.6;1;0;7;1;2019
16.0;566.988;5.4;1;0;7;1;2019
17.0;578.985;4.9;0;0;7;1;2019
18.0;600.381;4.9;0;0;7;1;2019
19.0;598.616;4.9;0;0;7;1;2019
20.0;591.654;4.8;0;0;7;1;2019
21.0;584.101;4.8;0;0;7;1;2019
22.0;572.991;4.6;1;0;7;1;2019
23.0;549.779;4.4;1;0;7;1;2019
0.0;517.676;4.1;1;0;8;1;2019
1.0;485.831;3.8;1;0;8;1;2019
2.0;461.959;3.4;1;0;8;1;2019
3.0;449.592;3.0;1;0;8;1;2019
4.0;440.941;2.5;1;0;8;1;2019
5.0;438.613;2.7;1;0;8;1;2019
6.0;441.516;2.9;1;0;8;1;2019
7.0;460.622;2.8;1;0;8;1;2019
8.0;490.891;3.1;1;0;8;1;2019
9.0;527.55;3.5;1;0;8;1;2019
10.0;562.061;4.5;1;0;8;1;2019
