time;temp;осадки;ясно;day;month;year;holiday;weekend;prev_day;prev_hour
8.0;22.1;0;1;26;8;2023;0;5;422.759;422.759
9.0;21.9;0;1;26;8;2023;0;5;422.759;422.759
10.0;21.9;0;1;26;8;2023;0;5;422.759;422.759
11.0;21.9;0;1;26;8;2023;0;5;422.759;422.759
12.0;21.9;0;1;26;8;2023;0;5;422.759;422.759
13.0;21.9;0;1;26;8;2023;0;5;422.759;422.759
14.0;21.5;0;1;26;8;2023;0;5;422.759;422.759
15.0;22.3;0;1;26;8;2023;0;5;422.759;422.759
16.0;23.8;0;1;27;8;2023;0;6;422.759;422.759
17.0;25.9;0;1;27;8;2023;0;6;422.759;422.759
18.0;28.0;0;1;27;8;2023;0;6;422.759;422.759
19.0;29.1;0;1;27;8;2023;0;6;422.759;422.759
20.0;29.9;0;1;27;8;2023;0;6;422.759;422.759
21.0;30.5;0;1;27;8;2023;0;6;422.759;422.759
22.0;30.9;0;1;27;8;2023;0;6;422.759;422.759
23.0;31.0;0;1;27;8;2023;0;6;422.759;422.759
0.0;30.8;0;1;27;8;2023;0;6;422.759;422.759
1.0;30.2;0;1;27;8;2023;0;6;422.759;422.759
2.0;29.1;0;1;27;8;2023;0;6;422.759;422.759
3.0;27.3;0;1;27;8;2023;0;6;422.759;422.759
4.0;26.3;0;1;27;8;2023;0;6;422.759;422.759
5.0;25.8;0;1;27;8;2023;0;6;422.759;422.759
6.0;25.2;0;1;27;8;2023;0;6;422.759;422.759
7.0;24.8;0;1;27;8;2023;0;6;422.759;422.759
8.0;24.3;0;1;27;8;2023;0;6;422.759;422.759
9.0;23.9;0;1;27;8;2023;0;6;422.759;422.759
10.0;23.6;0;1;27;8;2023;0;6;422.759;422.759
11.0;23.2;0;1;27;8;2023;0;6;422.759;422.759
12.0;22.4;0;1;27;8;2023;0;6;422.759;422.759
13.0;21.7;0;1;27;8;2023;0;6;422.759;422.759
14.0;21.1;0;1;27;8;2023;0;6;422.759;422.759
15.0;22.2;0;1;27;8;2023;0;6;422.759;422.759
16.0;24.3;0;1;28;8;2023;0;0;422.759;422.759
17.0;26.4;0;1;28;8;2023;0;0;422.759;422.759
18.0;28.3;0;1;28;8;2023;0;0;422.759;422.759
19.0;29.4;0;1;28;8;2023;0;0;422.759;422.759
20.0;30.7;0;1;28;8;2023;0;0;422.759;422.759
21.0;31.7;0;1;28;8;2023;0;0;422.759;422.759
22.0;32.3;0;1;28;8;2023;0;0;422.759;422.759
23.0;32.6;0;1;28;8;2023;0;0;422.759;422.759
0.0;32.5;0;1;28;8;2023;0;0;422.759;422.759
1.0;32.0;0;1;28;8;2023;0;0;422.759;422.759
2.0;31.0;0;1;28;8;2023;0;0;422.759;422.759
3.0;28.9;0;1;28;8;2023;0;0;422.759;422.759
4.0;27.6;0;1;28;8;2023;0;0;422.759;422.759
5.0;27.1;0;1;28;8;2023;0;0;422.759;422.759
6.0;26.8;0;1;28;8;2023;0;0;422.759;422.759
7.0;26.4;0;1;28;8;2023;0;0;422.759;422.759
8.0;26.0;0;1;28;8;2023;0;0;422.759;422.759
9.0;25.5;0;1;28;8;2023;0;0;422.759;422.759
10.0;25.2;0;1;28;8;2023;0;0;422.759;422.759
11.0;25.4;0;1;28;8;2023;0;0;422.759;422.759
12.0;25.4;0;1;28;8;2023;0;0;422.759;422.759
13.0;25.2;0;0;28;8;2023;0;0;422.759;422.759
14.0;25.0;0;0;28;8;2023;0;0;422.759;422.759
15.0;26.0;0;1;28;8;2023;0;0;422.759;422.759
16.0;27.8;0;1;29;8;2023;0;1;422.759;422.759
17.0;29.5;0;1;29;8;2023;0;1;422.759;422.759
18.0;31.2;0;1;29;8;2023;0;1;422.759;422.759
19.0;32.4;0;1;29;8;2023;0;1;422.759;422.759
20.0;33.6;0;1;29;8;2023;0;1;422.759;422.759
21.0;34.3;0;1;29;8;2023;0;1;422.759;422.759
22.0;34.6;0;1;29;8;2023;0;1;422.759;422.759
23.0;34.7;0;1;29;8;2023;0;1;422.759;422.759
0.0;34.4;0;1;29;8;2023;0;1;422.759;422.759
1.0;33.8;0;1;29;8;2023;0;1;422.759;422.759
2.0;32.7;0;0;29;8;2023;0;1;422.759;422.759
3.0;30.8;0;0;29;8;2023;0;1;422.759;422.759
4.0;29.7;0;1;29;8;2023;0;1;422.759;422.759
5.0;29.0;0;1;29;8;2023;0;1;422.759;422.759
6.0;28.6;0;1;29;8;2023;0;1;422.759;422.759
7.0;28.3;0;1;29;8;2023;0;1;422.759;422.759
