time;temp;осадки;ясно;day;month;year;holiday;weekend;prev_day;prev_hour
9.0;21.4;0;0;26;8;2023;0;5;422.759;422.759
10.0;20.9;0;0;26;8;2023;0;5;422.759;422.759
11.0;20.6;0;0;26;8;2023;0;5;422.759;422.759
12.0;20.2;0;0;26;8;2023;0;5;422.759;422.759
13.0;19.7;0;0;26;8;2023;0;5;422.759;422.759
14.0;19.4;0;0;26;8;2023;0;5;422.759;422.759
15.0;19.1;0;1;27;8;2023;0;6;422.759;422.759
16.0;20.3;0;1;27;8;2023;0;6;422.759;422.759
17.0;23.6;0;1;27;8;2023;0;6;422.759;422.759
18.0;25.4;0;1;27;8;2023;0;6;422.759;422.759
19.0;26.2;0;1;27;8;2023;0;6;422.759;422.759
20.0;26.9;0;1;27;8;2023;0;6;422.759;422.759
21.0;27.3;0;1;27;8;2023;0;6;422.759;422.759
22.0;27.6;0;1;27;8;2023;0;6;422.759;422.759
23.0;27.5;0;1;27;8;2023;0;6;422.759;422.759
0.0;27.4;0;1;27;8;2023;0;6;422.759;422.759
1.0;27.3;0;1;27;8;2023;0;6;422.759;422.759
2.0;26.7;0;1;27;8;2023;0;6;422.759;422.759
3.0;25.9;0;1;27;8;2023;0;6;422.759;422.759
4.0;24.8;0;1;27;8;2023;0;6;422.759;422.759
5.0;23.2;0;1;27;8;2023;0;6;422.759;422.759
6.0;21.4;0;1;27;8;2023;0;6;422.759;422.759
7.0;20.5;0;1;27;8;2023;0;6;422.759;422.759
8.0;20.1;0;1;27;8;2023;0;6;422.759;422.759
