time;temp;осадки;ясно;day;month;year;holiday;weekend;prev_day;prev_hour
9.0;20.5;0;1;26;8;2023;0;5;422.759;422.759
10.0;19.7;0;1;26;8;2023;0;5;422.759;422.759
11.0;19.1;0;1;26;8;2023;0;5;422.759;422.759
12.0;18.8;0;1;26;8;2023;0;5;422.759;422.759
13.0;18.4;0;1;26;8;2023;0;5;422.759;422.759
14.0;18.1;0;1;26;8;2023;0;5;422.759;422.759
15.0;18.0;0;1;27;8;2023;0;6;422.759;422.759
16.0;18.7;0;1;27;8;2023;0;6;422.759;422.759
17.0;21.0;0;1;27;8;2023;0;6;422.759;422.759
18.0;23.3;0;1;27;8;2023;0;6;422.759;422.759
19.0;25.7;0;1;27;8;2023;0;6;422.759;422.759
20.0;27.7;0;1;27;8;2023;0;6;422.759;422.759
21.0;28.9;0;1;27;8;2023;0;6;422.759;422.759
22.0;29.5;0;1;27;8;2023;0;6;422.759;422.759
23.0;30.0;0;1;27;8;2023;0;6;422.759;422.759
0.0;30.2;0;1;27;8;2023;0;6;422.759;422.759
1.0;30.1;0;1;27;8;2023;0;6;422.759;422.759
2.0;29.7;0;1;27;8;2023;0;6;422.759;422.759
3.0;28.8;0;1;27;8;2023;0;6;422.759;422.759
4.0;27.4;0;1;27;8;2023;0;6;422.759;422.759
5.0;25.3;0;1;27;8;2023;0;6;422.759;422.759
6.0;23.8;0;1;27;8;2023;0;6;422.759;422.759
7.0;22.7;0;1;27;8;2023;0;6;422.759;422.759
8.0;21.8;0;1;27;8;2023;0;6;422.759;422.759
9.0;21.0;0;1;27;8;2023;0;6;422.759;422.759
10.0;20.4;0;1;27;8;2023;0;6;422.759;422.759
11.0;19.8;0;1;27;8;2023;0;6;422.759;422.759
12.0;19.2;0;1;27;8;2023;0;6;422.759;422.759
13.0;18.7;0;1;27;8;2023;0;6;422.759;422.759
14.0;18.1;0;1;27;8;2023;0;6;422.759;422.759
15.0;17.5;0;1;28;8;2023;0;0;422.759;422.759
16.0;18.2;0;1;28;8;2023;0;0;422.759;422.759
17.0;20.5;0;1;28;8;2023;0;0;422.759;422.759
18.0;23.4;0;1;28;8;2023;0;0;422.759;422.759
19.0;26.2;0;1;28;8;2023;0;0;422.759;422.759
20.0;28.0;0;1;28;8;2023;0;0;422.759;422.759
21.0;29.3;0;1;28;8;2023;0;0;422.759;422.759
22.0;30.4;0;1;28;8;2023;0;0;422.759;422.759
23.0;31.2;0;1;28;8;2023;0;0;422.759;422.759
0.0;31.8;0;1;28;8;2023;0;0;422.759;422.759
1.0;31.8;0;1;28;8;2023;0;0;422.759;422.759
2.0;31.5;0;1;28;8;2023;0;0;422.759;422.759
3.0;30.7;0;1;28;8;2023;0;0;422.759;422.759
4.0;29.1;0;1;28;8;2023;0;0;422.759;422.759
5.0;27.0;0;1;28;8;2023;0;0;422.759;422.759
6.0;25.5;0;1;28;8;2023;0;0;422.759;422.759
7.0;24.4;0;1;28;8;2023;0;0;422.759;422.759
8.0;23.6;0;1;28;8;2023;0;0;422.759;422.759
9.0;23.0;0;1;28;8;2023;0;0;422.759;422.759
10.0;22.4;0;1;28;8;2023;0;0;422.759;422.759
11.0;21.8;0;1;28;8;2023;0;0;422.759;422.759
12.0;21.4;0;1;28;8;2023;0;0;422.759;422.759
13.0;21.0;0;1;28;8;2023;0;0;422.759;422.759
14.0;20.4;0;1;28;8;2023;0;0;422.759;422.759
15.0;19.9;0;1;29;8;2023;0;1;422.759;422.759
16.0;20.7;0;1;29;8;2023;0;1;422.759;422.759
17.0;23.1;0;1;29;8;2023;0;1;422.759;422.759
18.0;26.1;0;1;29;8;2023;0;1;422.759;422.759
19.0;29.2;0;0;29;8;2023;0;1;422.759;422.759
20.0;31.3;0;1;29;8;2023;0;1;422.759;422.759
21.0;32.5;0;0;29;8;2023;0;1;422.759;422.759
22.0;33.3;0;0;29;8;2023;0;1;422.759;422.759
23.0;33.9;0;0;29;8;2023;0;1;422.759;422.759
0.0;34.3;0;1;29;8;2023;0;1;422.759;422.759
1.0;34.1;0;1;29;8;2023;0;1;422.759;422.759
2.0;33.7;0;1;29;8;2023;0;1;422.759;422.759
3.0;32.9;0;1;29;8;2023;0;1;422.759;422.759
4.0;31.3;0;1;29;8;2023;0;1;422.759;422.759
5.0;29.1;0;1;29;8;2023;0;1;422.759;422.759
6.0;27.5;0;1;29;8;2023;0;1;422.759;422.759
7.0;26.5;0;1;29;8;2023;0;1;422.759;422.759
8.0;25.5;0;1;29;8;2023;0;1;422.759;422.759
9.0;24.6;0;1;29;8;2023;0;1;422.759;422.759
10.0;24.1;0;1;29;8;2023;0;1;422.759;422.759
11.0;23.6;0;1;29;8;2023;0;1;422.759;422.759
12.0;23.0;0;1;29;8;2023;0;1;422.759;422.759
13.0;22.5;0;1;29;8;2023;0;1;422.759;422.759
14.0;22.1;0;0;29;8;2023;0;1;422.759;422.759
15.0;21.7;0;0;30;8;2023;0;2;422.759;422.759
16.0;22.4;0;0;30;8;2023;0;2;422.759;422.759
17.0;23.6;0;0;30;8;2023;0;2;422.759;422.759
18.0;25.1;0;1;30;8;2023;0;2;422.759;422.759
19.0;27.0;0;1;30;8;2023;0;2;422.759;422.759
20.0;29.1;0;1;30;8;2023;0;2;422.759;422.759
21.0;30.6;0;1;30;8;2023;0;2;422.759;422.759
22.0;31.3;0;1;30;8;2023;0;2;422.759;422.759
23.0;31.3;0;1;30;8;2023;0;2;422.759;422.759
0.0;31.0;0;1;30;8;2023;0;2;422.759;422.759
1.0;30.4;0;1;30;8;2023;0;2;422.759;422.759
2.0;29.3;0;1;30;8;2023;0;2;422.759;422.759
3.0;28.0;0;1;30;8;2023;0;2;422.759;422.759
4.0;26.3;0;1;30;8;2023;0;2;422.759;422.759
5.0;24.3;0;1;30;8;2023;0;2;422.759;422.759
6.0;22.5;0;1;30;8;2023;0;2;422.759;422.759
7.0;21.0;0;1;30;8;2023;0;2;422.759;422.759
8.0;19.6;0;1;30;8;2023;0;2;422.759;422.759
9.0;18.5;0;1;30;8;2023;0;2;422.759;422.759
10.0;17.6;0;1;30;8;2023;0;2;422.759;422.759
11.0;16.9;0;1;30;8;2023;0;2;422.759;422.759
12.0;16.2;0;1;30;8;2023;0;2;422.759;422.759
13.0;15.4;0;1;30;8;2023;0;2;422.759;422.759
14.0;14.6;0;1;30;8;2023;0;2;422.759;422.759
15.0;14.7;0;1;31;8;2023;0;3;422.759;422.759
16.0;16.0;0;1;31;8;2023;0;3;422.759;422.759
17.0;18.1;0;1;31;8;2023;0;3;422.759;422.759
18.0;20.3;0;1;31;8;2023;0;3;422.759;422.759
19.0;22.5;0;1;31;8;2023;0;3;422.759;422.759
20.0;24.8;0;1;31;8;2023;0;3;422.759;422.759
21.0;26.6;0;1;31;8;2023;0;3;422.759;422.759
22.0;27.7;0;1;31;8;2023;0;3;422.759;422.759
23.0;28.4;0;1;31;8;2023;0;3;422.759;422.759
0.0;28.6;0;1;31;8;2023;0;3;422.759;422.759
1.0;28.6;0;1;31;8;2023;0;3;422.759;422.759
2.0;28.1;0;1;31;8;2023;0;3;422.759;422.759
3.0;27.2;0;1;31;8;2023;0;3;422.759;422.759
4.0;25.6;0;1;31;8;2023;0;3;422.759;422.759
5.0;23.6;0;1;31;8;2023;0;3;422.759;422.759
6.0;21.8;0;1;31;8;2023;0;3;422.759;422.759
7.0;20.7;0;1;31;8;2023;0;3;422.759;422.759
8.0;19.8;0;1;31;8;2023;0;3;422.759;422.759
9.0;19.0;0;1;31;8;2023;0;3;422.759;422.759
10.0;18.2;0;1;31;8;2023;0;3;422.759;422.759
11.0;17.5;0;1;31;8;2023;0;3;422.759;422.759
12.0;17.0;0;1;31;8;2023;0;3;422.759;422.759
13.0;14.0;0;1;31;8;2023;0;3;422.759;422.759
14.0;13.5;0;0;31;8;2023;0;3;422.759;422.759
15.0;13.8;0;0;1;9;2023;0;4;422.759;422.759
16.0;15.1;0;0;1;9;2023;0;4;422.759;422.759
17.0;17.2;0;0;1;9;2023;0;4;422.759;422.759
18.0;19.5;0;0;1;9;2023;0;4;422.759;422.759
19.0;22.2;0;0;1;9;2023;0;4;422.759;422.759
20.0;25.1;0;0;1;9;2023;0;4;422.759;422.759
21.0;27.6;0;0;1;9;2023;0;4;422.759;422.759
22.0;29.4;0;0;1;9;2023;0;4;422.759;422.759
23.0;30.7;0;0;1;9;2023;0;4;422.759;422.759
0.0;31.3;0;0;1;9;2023;0;4;422.759;422.759
1.0;31.4;0;0;1;9;2023;0;4;422.759;422.759
2.0;30.8;0;0;1;9;2023;0;4;422.759;422.759
3.0;29.6;0;0;1;9;2023;0;4;422.759;422.759
4.0;27.3;0;0;1;9;2023;0;4;422.759;422.759
5.0;24.4;0;1;1;9;2023;0;4;422.759;422.759
6.0;22.0;0;1;1;9;2023;0;4;422.759;422.759
7.0;20.7;0;0;1;9;2023;0;4;422.759;422.759
8.0;19.9;0;0;1;9;2023;0;4;422.759;422.759
9.0;19.2;0;0;1;9;2023;0;4;422.759;422.759
10.0;18.3;0;0;1;9;2023;0;4;422.759;422.759
11.0;17.4;0;0;1;9;2023;0;4;422.759;422.759
12.0;16.6;0;0;1;9;2023;0;4;422.759;422.759
13.0;15.6;0;0;1;9;2023;0;4;422.759;422.759
14.0;14.7;0;0;1;9;2023;0;4;422.759;422.759
15.0;14.8;0;0;2;9;2023;0;5;422.759;422.759
16.0;16.6;0;0;2;9;2023;0;5;422.759;422.759
17.0;19.4;0;0;2;9;2023;0;5;422.759;422.759
18.0;22.3;0;1;2;9;2023;0;5;422.759;422.759
19.0;25.3;0;0;2;9;2023;0;5;422.759;422.759
20.0;28.4;0;0;2;9;2023;0;5;422.759;422.759
21.0;30.7;0;0;2;9;2023;0;5;422.759;422.759
22.0;32.0;0;0;2;9;2023;0;5;422.759;422.759
23.0;32.5;0;0;2;9;2023;0;5;422.759;422.759
0.0;32.6;0;1;2;9;2023;0;5;422.759;422.759
1.0;32.2;0;1;2;9;2023;0;5;422.759;422.759
2.0;31.4;0;1;2;9;2023;0;5;422.759;422.759
3.0;29.9;0;1;2;9;2023;0;5;422.759;422.759
4.0;27.3;0;0;2;9;2023;0;5;422.759;422.759
5.0;24.2;0;0;2;9;2023;0;5;422.759;422.759
6.0;21.7;0;0;2;9;2023;0;5;422.759;422.759
7.0;20.3;0;0;2;9;2023;0;5;422.759;422.759
8.0;19.6;0;0;2;9;2023;0;5;422.759;422.759
