time;target;day;month;year
0;481.51;1;1;2019
1;462.872;1;1;2019
2;449.718;1;1;2019
3;430.908;1;1;2019
4;415.163;1;1;2019
5;403.195;1;1;2019
6;398.173;1;1;2019
7;402.689;1;1;2019
8;407.094;1;1;2019
9;414.565;1;1;2019
10;420.905;1;1;2019
11;447.558;1;1;2019
12;469.802;1;1;2019
13;480.681;1;1;2019
14;481.156;1;1;2019
15;480.863;1;1;2019
16;482.463;1;1;2019
17;502.226;1;1;2019
18;524.691;1;1;2019
19;525.338;1;1;2019
20;522.61;1;1;2019
21;517.606;1;1;2019
22;512.28;1;1;2019
23;492.8;1;1;2019
0;465.381;2;1;2019
1;437.692;2;1;2019
2;416.416;2;1;2019
3;401.808;2;1;2019
4;394.554;2;1;2019
5;391.375;2;1;2019
6;392.51;2;1;2019
7;405.998;2;1;2019
8;424.891;2;1;2019
9;450.377;2;1;2019
10;475.445;2;1;2019
11;509.816;2;1;2019
12;526.491;2;1;2019
13;525.171;2;1;2019
14;521.867;2;1;2019
15;520.315;2;1;2019
16;525.992;2;1;2019
17;538.607;2;1;2019
18;556.317;2;1;2019
19;547.679;2;1;2019
20;542.323;2;1;2019
21;539.041;2;1;2019
22;528.386;2;1;2019
23;508.758;2;1;2019
0;479.831;3;1;2019
1;450.047;3;1;2019
2;428.649;3;1;2019
3;415.287;3;1;2019
4;406.705;3;1;2019
5;404.198;3;1;2019
6;412.379;3;1;2019
7;427.568;3;1;2019
8;455.493;3;1;2019
9;488.607;3;1;2019
10;518.654;3;1;2019
11;550.468;3;1;2019
12;562.022;3;1;2019
13;559.561;3;1;2019
14;556.841;3;1;2019
15;553.016;3;1;2019
16;551.865;3;1;2019
17;566.031;3;1;2019
18;596.467;3;1;2019
19;593.502;3;1;2019
20;583.89;3;1;2019
21;574.923;3;1;2019
22;560.805;3;1;2019
23;538.755;3;1;2019
0;506.119;4;1;2019
1;473.726;4;1;2019
2;449.395;4;1;2019
3;435.532;4;1;2019
4;427.882;4;1;2019
5;426.407;4;1;2019
6;433.644;4;1;2019
7;449.355;4;1;2019
8;477.349;4;1;2019
9;518.861;4;1;2019
10;550.57;4;1;2019
11;581.451;4;1;2019
12;593.408;4;1;2019
13;589.397;4;1;2019
14;584.555;4;1;2019
15;580.159;4;1;2019
16;577.593;4;1;2019
17;591.67;4;1;2019
18;611.004;4;1;2019
19;605.73;4;1;2019
20;595.028;4;1;2019
21;586.155;4;1;2019
22;571.615;4;1;2019
23;546.439;4;1;2019
0;514.853;5;1;2019
1;481.142;5;1;2019
2;454.754;5;1;2019
3;440.151;5;1;2019
4;432.254;5;1;2019
