time;target;temp;weather;wind;day;month;year;weekend
0;481.51;2.9;0;3;1;1;2019;1
1;462.872;2.9;0;3;1;1;2019;1
2;449.718;2.9;0;3;1;1;2019;1
3;430.908;4.3;1009;3;1;1;2019;1
4;415.163;4.3;1009;3;1;1;2019;1
5;403.195;4.3;1009;3;1;1;2019;1
6;398.173;5.3;1189;3;1;1;2019;1
7;402.689;5.3;1189;3;1;1;2019;1
8;407.094;5.3;1189;3;1;1;2019;1
9;414.565;6.0;1189;3;1;1;2019;1
10;420.905;6.0;1189;3;1;1;2019;1
11;447.558;6.0;1189;3;1;1;2019;1
12;469.802;6.1;1189;3;1;1;2019;1
13;480.681;6.1;1189;3;1;1;2019;1
14;481.156;6.1;1189;3;1;1;2019;1
15;480.863;4.8;1189;3;1;1;2019;1
16;482.463;4.8;1189;3;1;1;2019;1
17;502.226;4.8;1189;3;1;1;2019;1
18;524.691;5.2;1243;3;1;1;2019;1
19;525.338;5.2;1243;3;1;1;2019;1
20;522.61;5.2;1243;3;1;1;2019;1
21;517.606;4.4;1243;3;1;1;2019;1
22;512.28;4.4;1243;3;1;1;2019;1
23;492.8;4.4;1243;3;1;1;2019;1
0;465.381;3.2;1189;3;2;1;2019;1
1;437.692;3.2;1189;3;2;1;2019;1
2;416.416;3.2;1189;3;2;1;2019;1
3;401.808;2.5;1189;3;2;1;2019;1
4;394.554;2.5;1189;3;2;1;2019;1
5;391.375;2.5;1189;3;2;1;2019;1
6;392.51;1.7;1009;3;2;1;2019;1
7;405.998;1.7;1009;3;2;1;2019;1
8;424.891;1.7;1009;3;2;1;2019;1
9;450.377;1.1;1009;3;2;1;2019;1
10;475.445;1.1;1009;3;2;1;2019;1
11;509.816;1.1;1009;3;2;1;2019;1
12;526.491;1.0;1219;3;2;1;2019;1
13;525.171;1.0;1219;3;2;1;2019;1
14;521.867;1.0;1219;3;2;1;2019;1
15;520.315;0.6;1219;3;2;1;2019;1
16;525.992;0.6;1219;3;2;1;2019;1
17;538.607;0.6;1219;3;2;1;2019;1
18;556.317;0.2;1219;3;2;1;2019;1
19;547.679;0.2;1219;3;2;1;2019;1
20;542.323;0.2;1219;3;2;1;2019;1
21;539.041;0.5;1219;3;2;1;2019;1
22;528.386;0.5;1219;3;2;1;2019;1
23;508.758;0.5;1219;3;2;1;2019;1
0;479.831;-0.4;1009;3;3;1;2019;1
1;450.047;-0.4;1009;3;3;1;2019;1
2;428.649;-0.4;1009;3;3;1;2019;1
3;415.287;-0.1;1009;3;3;1;2019;1
4;406.705;-0.1;1009;3;3;1;2019;1
5;404.198;-0.1;1009;3;3;1;2019;1
6;412.379;-0.8;1000;3;3;1;2019;1
7;427.568;-0.8;1000;3;3;1;2019;1
8;455.493;-0.8;1000;3;3;1;2019;1
9;488.607;-0.5;1000;3;3;1;2019;1
10;518.654;-0.5;1000;3;3;1;2019;1
11;550.468;-0.5;1000;3;3;1;2019;1
12;562.022;0.1;1000;3;3;1;2019;1
13;559.561;0.1;1000;3;3;1;2019;1
14;556.841;0.1;1000;3;3;1;2019;1
15;553.016;-1.2;1000;3;3;1;2019;1
16;551.865;-1.2;1000;3;3;1;2019;1
17;566.031;-1.2;1000;3;3;1;2019;1
18;596.467;-2.6;1000;3;3;1;2019;1
19;593.502;-2.6;1000;3;3;1;2019;1
20;583.89;-2.6;1000;3;3;1;2019;1
21;574.923;-3.8;1000;3;3;1;2019;1
22;560.805;-3.8;1000;3;3;1;2019;1
23;538.755;-3.8;1000;3;3;1;2019;1
0;506.119;-5.7;1009;3;4;1;2019;1
1;473.726;-5.7;1009;3;4;1;2019;1
2;449.395;-5.7;1009;3;4;1;2019;1
3;435.532;-6.9;1009;3;4;1;2019;1
4;427.882;-6.9;1009;3;4;1;2019;1
5;426.407;-6.9;1009;3;4;1;2019;1
6;433.644;-3.2;1009;3;4;1;2019;1
7;449.355;-3.2;1009;3;4;1;2019;1
8;477.349;-3.2;1009;3;4;1;2019;1
9;518.861;-0.3;1009;3;4;1;2019;1
10;550.57;-0.3;1009;3;4;1;2019;1
11;581.451;-0.3;1009;3;4;1;2019;1
12;593.408;0.2;1009;3;4;1;2019;1
13;589.397;0.2;1009;3;4;1;2019;1
14;584.555;0.2;1009;3;4;1;2019;1
15;580.159;0.8;1009;3;4;1;2019;1
16;577.593;0.8;1009;3;4;1;2019;1
17;591.67;0.8;1009;3;4;1;2019;1
18;611.004;0.9;1189;0;4;1;2019;1
19;605.73;0.9;1189;0;4;1;2019;1
20;595.028;0.9;1189;0;4;1;2019;1
21;586.155;2.2;1189;0;4;1;2019;1
22;571.615;2.2;1189;0;4;1;2019;1
23;546.439;2.2;1189;0;4;1;2019;1
0;514.853;2.8;1189;0;5;1;2019;1
1;481.142;2.8;1189;0;5;1;2019;1
2;454.754;2.8;1189;0;5;1;2019;1
3;440.151;3.4;1189;0;5;1;2019;1
4;432.254;3.4;1189;0;5;1;2019;1
5;428.926;3.4;1189;0;5;1;2019;1
6;431.34;2.4;1006;0;5;1;2019;1
7;444.717;2.4;1006;0;5;1;2019;1
8;469.888;2.4;1006;0;5;1;2019;1
9;503.824;1.4;1003;0;5;1;2019;1
10;533.122;1.4;1003;0;5;1;2019;1
11;565.424;1.4;1003;0;5;1;2019;1
12;579.819;-0.2;1009;0;5;1;2019;1
13;581.549;-0.2;1009;0;5;1;2019;1
14;580.582;-0.2;1009;0;5;1;2019;1
15;580.592;0.0;1219;0;5;1;2019;1
16;582.877;0.0;1219;0;5;1;2019;1
17;599.62;0.0;1219;0;5;1;2019;1
18;612.847;-0.7;1009;0;5;1;2019;1
19;609.084;-0.7;1009;0;5;1;2019;1
20;597.462;-0.7;1009;0;5;1;2019;1
21;586.569;-1.6;1009;0;5;1;2019;1
22;574.002;-1.6;1009;0;5;1;2019;1
23;549.747;-1.6;1009;0;5;1;2019;1
0;518.851;-2.0;1009;0;6;1;2019;1
1;487.836;-2.0;1009;0;6;1;2019;1
2;463.039;-2.0;1009;0;6;1;2019;1
3;446.956;-2.8;1009;0;6;1;2019;1
4;438.879;-2.8;1009;0;6;1;2019;1
5;435.766;-2.8;1009;0;6;1;2019;1
6;441.252;-3.6;1000;0;6;1;2019;1
7;455.889;-3.6;1000;0;6;1;2019;1
8;476.991;-3.6;1000;0;6;1;2019;1
9;506.962;-3.7;1000;0;6;1;2019;1
10;535.603;-3.7;1000;0;6;1;2019;1
11;566.499;-3.7;1000;0;6;1;2019;1
12;576.889;-2.8;1000;0;6;1;2019;1
13;575.282;-2.8;1000;0;6;1;2019;1
14;570.88;-2.8;1000;0;6;1;2019;1
15;568.857;-4.1;1000;0;6;1;2019;1
16;567.818;-4.1;1000;0;6;1;2019;1
17;584.424;-4.1;1000;0;6;1;2019;1
18;615.803;-3.9;1000;0;6;1;2019;1
19;610.037;-3.9;1000;0;6;1;2019;1
20;595.185;-3.9;1000;0;6;1;2019;1
21;584.211;-3.5;1000;0;6;1;2019;1
22;569.967;-3.5;1000;0;6;1;2019;1
23;550.543;-3.5;1000;0;6;1;2019;1
0;523.761;-3.2;1009;0;7;1;2019;1
1;494.211;-3.2;1009;0;7;1;2019;1
2;470.672;-3.2;1009;0;7;1;2019;1
3;455.73;-2.5;1009;0;7;1;2019;1
4;444.84;-2.5;1009;0;7;1;2019;1
5;441.119;-2.5;1009;0;7;1;2019;1
6;443.111;-2.2;1009;0;7;1;2019;1
7;457.155;-2.2;1009;0;7;1;2019;1
8;474.355;-2.2;1009;0;7;1;2019;1
9;499.64;-2.7;1009;0;7;1;2019;1
10;527.261;-2.7;1009;0;7;1;2019;1
11;559.133;-2.7;1009;0;7;1;2019;1
12;572.396;-1.0;1009;0;7;1;2019;1
13;573.392;-1.0;1009;0;7;1;2019;1
14;571.958;-1.0;1009;0;7;1;2019;1
15;567.706;0.0;1009;0;7;1;2019;1
16;566.988;0.0;1009;0;7;1;2019;1
17;578.985;0.0;1009;0;7;1;2019;1
18;600.381;0.3;1009;0;7;1;2019;1
19;598.616;0.3;1009;0;7;1;2019;1
20;591.654;0.3;1009;0;7;1;2019;1
21;584.101;-0.1;1009;0;7;1;2019;1
22;572.991;-0.1;1009;0;7;1;2019;1
23;549.779;-0.1;1009;0;7;1;2019;1
0;517.676;-0.4;1219;0;8;1;2019;1
1;485.831;-0.4;1219;0;8;1;2019;1
2;461.959;-0.4;1219;0;8;1;2019;1
3;449.592;-1.1;1219;0;8;1;2019;1
4;440.941;-1.1;1219;0;8;1;2019;1
5;438.613;-1.1;1219;0;8;1;2019;1
6;441.516;-1.5;1219;3;8;1;2019;1
7;460.622;-1.5;1219;3;8;1;2019;1
8;490.891;-1.5;1219;3;8;1;2019;1
9;527.55;-1.7;1219;3;8;1;2019;1
