;time;target;temp;weather;wind;day;month;year;weekday;type_day;prev_day;prev_hour
0;0;481.51;2.9;0;3;1;1;2019;1;1;481.51;481.51
1;1;462.872;2.9;0;3;1;1;2019;1;1;481.51;481.51
2;2;449.718;2.9;0;3;1;1;2019;1;1;481.51;462.872
3;3;430.908;4.3;1009;3;1;1;2019;1;1;481.51;449.718
4;4;415.163;4.3;1009;3;1;1;2019;1;1;481.51;430.908
5;5;403.195;4.3;1009;3;1;1;2019;1;1;481.51;415.163
6;6;398.173;5.3;1189;3;1;1;2019;1;1;481.51;403.195
7;7;402.689;5.3;1189;3;1;1;2019;1;1;481.51;398.173
8;8;407.094;5.3;1189;3;1;1;2019;1;1;481.51;402.689
9;9;414.565;6.0;1189;3;1;1;2019;1;1;481.51;407.094
10;10;420.905;6.0;1189;3;1;1;2019;1;1;481.51;414.565
11;11;447.558;6.0;1189;3;1;1;2019;1;1;481.51;420.905
12;12;469.802;6.1;1189;3;1;1;2019;1;1;481.51;447.558
13;13;480.681;6.1;1189;3;1;1;2019;1;1;481.51;469.802
14;14;481.156;6.1;1189;3;1;1;2019;1;1;481.51;480.681
15;15;480.863;4.8;1189;3;1;1;2019;1;1;481.51;481.156
16;16;482.463;4.8;1189;3;1;1;2019;1;1;481.51;480.863
17;17;502.226;4.8;1189;3;1;1;2019;1;1;481.51;482.463
18;18;524.691;5.2;1243;3;1;1;2019;1;1;481.51;502.226
19;19;525.338;5.2;1243;3;1;1;2019;1;1;481.51;524.691
20;20;522.61;5.2;1243;3;1;1;2019;1;1;481.51;525.338
21;21;517.606;4.4;1243;3;1;1;2019;1;1;481.51;522.61
22;22;512.28;4.4;1243;3;1;1;2019;1;1;481.51;517.606
23;23;492.8;4.4;1243;3;1;1;2019;1;1;481.51;512.28
24;0;465.381;3.2;1189;3;2;1;2019;2;1;481.51;492.8
25;1;437.692;3.2;1189;3;2;1;2019;2;1;462.872;465.381
26;2;416.416;3.2;1189;3;2;1;2019;2;1;449.718;437.692
27;3;401.808;2.5;1189;3;2;1;2019;2;1;430.908;416.416
28;4;394.554;2.5;1189;3;2;1;2019;2;1;415.163;401.808
29;5;391.375;2.5;1189;3;2;1;2019;2;1;403.195;394.554
30;6;392.51;1.7;1009;3;2;1;2019;2;1;398.173;391.375
31;7;405.998;1.7;1009;3;2;1;2019;2;1;402.689;392.51
32;8;424.891;1.7;1009;3;2;1;2019;2;1;407.094;405.998
33;9;450.377;1.1;1009;3;2;1;2019;2;1;414.565;424.891
34;10;475.445;1.1;1009;3;2;1;2019;2;1;420.905;450.377
35;11;509.816;1.1;1009;3;2;1;2019;2;1;447.558;475.445
36;12;526.491;1.0;1219;3;2;1;2019;2;1;469.802;509.816
37;13;525.171;1.0;1219;3;2;1;2019;2;1;480.681;526.491
38;14;521.867;1.0;1219;3;2;1;2019;2;1;481.156;525.171
39;15;520.315;0.6;1219;3;2;1;2019;2;1;480.863;521.867
40;16;525.992;0.6;1219;3;2;1;2019;2;1;482.463;520.315
41;17;538.607;0.6;1219;3;2;1;2019;2;1;502.226;525.992
42;18;556.317;0.2;1219;3;2;1;2019;2;1;524.691;538.607
43;19;547.679;0.2;1219;3;2;1;2019;2;1;525.338;556.317
44;20;542.323;0.2;1219;3;2;1;2019;2;1;522.61;547.679
45;21;539.041;0.5;1219;3;2;1;2019;2;1;517.606;542.323
46;22;528.386;0.5;1219;3;2;1;2019;2;1;512.28;539.041
47;23;508.758;0.5;1219;3;2;1;2019;2;1;492.8;528.386
48;0;479.831;-0.4;1009;3;3;1;2019;3;1;465.381;508.758
49;1;450.047;-0.4;1009;3;3;1;2019;3;1;437.692;479.831
50;2;428.649;-0.4;1009;3;3;1;2019;3;1;416.416;450.047
51;3;415.287;-0.1;1009;3;3;1;2019;3;1;401.808;428.649
52;4;406.705;-0.1;1009;3;3;1;2019;3;1;394.554;415.287
53;5;404.198;-0.1;1009;3;3;1;2019;3;1;391.375;406.705
54;6;412.379;-0.8;1000;3;3;1;2019;3;1;392.51;404.198
55;7;427.568;-0.8;1000;3;3;1;2019;3;1;405.998;412.379
56;8;455.493;-0.8;1000;3;3;1;2019;3;1;424.891;427.568
57;9;488.607;-0.5;1000;3;3;1;2019;3;1;450.377;455.493
58;10;518.654;-0.5;1000;3;3;1;2019;3;1;475.445;488.607
59;11;550.468;-0.5;1000;3;3;1;2019;3;1;509.816;518.654
60;12;562.022;0.1;1000;3;3;1;2019;3;1;526.491;550.468
61;13;559.561;0.1;1000;3;3;1;2019;3;1;525.171;562.022
62;14;556.841;0.1;1000;3;3;1;2019;3;1;521.867;559.561
63;15;553.016;-1.2;1000;3;3;1;2019;3;1;520.315;556.841
64;16;551.865;-1.2;1000;3;3;1;2019;3;1;525.992;553.016
65;17;566.031;-1.2;1000;3;3;1;2019;3;1;538.607;551.865
66;18;596.467;-2.6;1000;3;3;1;2019;3;1;556.317;566.031
67;19;593.502;-2.6;1000;3;3;1;2019;3;1;547.679;596.467
68;20;583.89;-2.6;1000;3;3;1;2019;3;1;542.323;593.502
69;21;574.923;-3.8;1000;3;3;1;2019;3;1;539.041;583.89
70;22;560.805;-3.8;1000;3;3;1;2019;3;1;528.386;574.923
71;23;538.755;-3.8;1000;3;3;1;2019;3;1;508.758;560.805
72;0;506.119;-5.7;1009;3;4;1;2019;4;1;479.831;538.755
73;1;473.726;-5.7;1009;3;4;1;2019;4;1;450.047;506.119
74;2;449.395;-5.7;1009;3;4;1;2019;4;1;428.649;473.726
75;3;435.532;-6.9;1009;3;4;1;2019;4;1;415.287;449.395
76;4;427.882;-6.9;1009;3;4;1;2019;4;1;406.705;435.532
77;5;426.407;-6.9;1009;3;4;1;2019;4;1;404.198;427.882
78;6;433.644;-3.2;1009;3;4;1;2019;4;1;412.379;426.407
79;7;449.355;-3.2;1009;3;4;1;2019;4;1;427.568;433.644
80;8;477.349;-3.2;1009;3;4;1;2019;4;1;455.493;449.355
81;9;518.861;-0.3;1009;3;4;1;2019;4;1;488.607;477.349
82;10;550.57;-0.3;1009;3;4;1;2019;4;1;518.654;518.861
83;11;581.451;-0.3;1009;3;4;1;2019;4;1;550.468;550.57
84;12;593.408;0.2;1009;3;4;1;2019;4;1;562.022;581.451
85;13;589.397;0.2;1009;3;4;1;2019;4;1;559.561;593.408
86;14;584.555;0.2;1009;3;4;1;2019;4;1;556.841;589.397
87;15;580.159;0.8;1009;3;4;1;2019;4;1;553.016;584.555
88;16;577.593;0.8;1009;3;4;1;2019;4;1;551.865;580.159
89;17;591.67;0.8;1009;3;4;1;2019;4;1;566.031;577.593
90;18;611.004;0.9;1189;0;4;1;2019;4;1;596.467;591.67
91;19;605.73;0.9;1189;0;4;1;2019;4;1;593.502;611.004
92;20;595.028;0.9;1189;0;4;1;2019;4;1;583.89;605.73
93;21;586.155;2.2;1189;0;4;1;2019;4;1;574.923;595.028
94;22;571.615;2.2;1189;0;4;1;2019;4;1;560.805;586.155
